chr1	29554	+	chr1	34554	-	-0.00351238053708
chr1	29554	+	chr1	69091	+	-0.00586816332089
chr1	29554	+	chr1	89295	-	-0.00453857791225
chr1	29554	+	chr1	89551	-	0.038859923162
chr1	29554	+	chr1	139790	-	-0.00586816332089
chr1	29554	+	chr1	160446	+	-0.00261639393308
chr1	29554	+	chr1	227615	-	-0.00453857791225
chr1	29554	+	chr1	317720	+	0.00924399017778
chr1	29554	+	chr1	367640	+	-0.00261639393308
chr1	34554	-	chr1	29554	+	-0.00351238053708
chr1	34554	-	chr1	69091	+	-0.00454133938762
chr1	34554	-	chr1	89295	-	-0.00351238053708
chr1	34554	-	chr1	89551	-	0.0778457098617
chr1	34554	-	chr1	139790	-	-0.00454133938762
chr1	34554	-	chr1	160446	+	-0.00202481290517
chr1	34554	-	chr1	227615	-	-0.00351238053708
chr1	34554	-	chr1	317720	+	-0.00431997177809
chr1	34554	-	chr1	367640	+	-0.00202481290517
chr1	69091	+	chr1	29554	+	-0.00586816332089
chr1	69091	+	chr1	34554	-	-0.00454133938762
chr1	69091	+	chr1	89295	-	-0.00586816332089
chr1	69091	+	chr1	89551	-	0.0183186312299
chr1	69091	+	chr1	139790	-	-0.00758725341426
chr1	69091	+	chr1	160446	+	0.445862493936
chr1	69091	+	chr1	227615	-	-0.00586816332089
chr1	69091	+	chr1	317720	+	0.0464570421405
chr1	69091	+	chr1	367640	+	-0.00338287172941
chr1	89295	-	chr1	29554	+	-0.00453857791225
chr1	89295	-	chr1	34554	-	-0.00351238053708
chr1	89295	-	chr1	69091	+	-0.00586816332089
chr1	89295	-	chr1	89551	-	-0.0228697155451
chr1	89295	-	chr1	139790	-	-0.00586816332089
chr1	89295	-	chr1	160446	+	-0.00261639393308
chr1	89295	-	chr1	227615	-	-0.00453857791225
chr1	89295	-	chr1	317720	+	-0.00558211967257
chr1	89295	-	chr1	367640	+	-0.00261639393308
chr1	89551	-	chr1	29554	+	0.038859923162
chr1	89551	-	chr1	34554	-	0.0778457098617
chr1	89551	-	chr1	69091	+	0.0183186312299
chr1	89551	-	chr1	89295	-	-0.0228697155451
chr1	89551	-	chr1	139790	-	0.0183186312299
chr1	89551	-	chr1	160446	+	-0.0131839060958
chr1	89551	-	chr1	227615	-	-0.0228697155451
chr1	89551	-	chr1	317720	+	0.0329139715669
chr1	89551	-	chr1	367640	+	-0.0131839060958
chr1	139790	-	chr1	29554	+	-0.00586816332089
chr1	139790	-	chr1	34554	-	-0.00454133938762
chr1	139790	-	chr1	69091	+	-0.00758725341426
chr1	139790	-	chr1	89295	-	-0.00586816332089
chr1	139790	-	chr1	89551	-	0.0183186312299
chr1	139790	-	chr1	160446	+	-0.00338287172941
chr1	139790	-	chr1	227615	-	-0.00586816332089
chr1	139790	-	chr1	317720	+	-0.0110513023436
chr1	139790	-	chr1	367640	+	-0.00338287172941
chr1	160446	+	chr1	29554	+	-0.00261639393308
chr1	160446	+	chr1	34554	-	-0.00202481290517
chr1	160446	+	chr1	69091	+	0.445862493936
chr1	160446	+	chr1	89295	-	-0.00261639393308
chr1	160446	+	chr1	89551	-	-0.0131839060958
chr1	160446	+	chr1	139790	-	-0.00338287172941
chr1	160446	+	chr1	227615	-	-0.00261639393308
chr1	160446	+	chr1	317720	+	-0.0203118495605
chr1	160446	+	chr1	367640	+	-0.00150829562594
chr1	227615	-	chr1	29554	+	-0.00453857791225
chr1	227615	-	chr1	34554	-	-0.00351238053708
chr1	227615	-	chr1	69091	+	-0.00586816332089
chr1	227615	-	chr1	89295	-	-0.00453857791225
chr1	227615	-	chr1	89551	-	-0.0228697155451
chr1	227615	-	chr1	139790	-	-0.00586816332089
chr1	227615	-	chr1	160446	+	-0.00261639393308
chr1	227615	-	chr1	317720	+	-0.00558211967257
chr1	227615	-	chr1	367640	+	-0.00261639393308
chr1	317720	+	chr1	29554	+	0.00924399017778
chr1	317720	+	chr1	34554	-	-0.00431997177809
chr1	317720	+	chr1	69091	+	0.0464570421405
chr1	317720	+	chr1	89295	-	-0.00558211967257
chr1	317720	+	chr1	89551	-	0.0329139715669
chr1	317720	+	chr1	139790	-	-0.0110513023436
chr1	317720	+	chr1	160446	+	-0.0203118495605
chr1	317720	+	chr1	227615	-	-0.00558211967257
chr1	317720	+	chr1	367640	+	-0.0203118495605
chr1	367640	+	chr1	29554	+	-0.00261639393308
chr1	367640	+	chr1	34554	-	-0.00202481290517
chr1	367640	+	chr1	69091	+	-0.00338287172941
chr1	367640	+	chr1	89295	-	-0.00261639393308
chr1	367640	+	chr1	89551	-	-0.0131839060958
chr1	367640	+	chr1	139790	-	-0.00338287172941
chr1	367640	+	chr1	160446	+	-0.00150829562594
chr1	367640	+	chr1	227615	-	-0.00261639393308
chr1	367640	+	chr1	317720	+	-0.0203118495605
